,Angry,Device,Lab_sub,Max,Mean,Min,Mood,Peak,Perc20,Perc80,QuartDev,SessionID,Start_time,Std,Strong_Peak,dataQual,derivative,endTime
23,Low,A012B4,1.0,0.159768514841,0.125225569446,0.0484848127481,Positive,3.33333333333,0.106270502573,0.146619979854,0.0314189933955,S1_24,1557219167.5,0.027195592669,0.0,0.0,-0.000619261125887,1557219287.5
24,Low,A012B4,1.0,0.169322770234,0.110861182547,0.0465680294352,Positive,3.33333333333,0.0796034978944,0.145701673323,0.0572884389229,S1_24,1557219227.5,0.0345722031636,0.0,0.0,0.000224234615892,1557219347.5
25,Low,A012B4,1.0,0.170597015947,0.117073140044,0.0649099843608,Positive,2.5,0.0832475043077,0.146528468891,0.0571597507852,S1_24,1557219287.5,0.0307783674159,0.0,0.0,0.000166059540345,1557219407.5
26,Low,A012B4,1.0,0.172540672514,0.140454121505,0.0811471826646,Positive,1.66666666667,0.12781336267,0.151346905359,0.0183689465613,S1_24,1557219347.5,0.0199204247888,0.0,0.0,-0.000656906156551,1557219467.5
27,Low,A012B4,1.0,0.177904925684,0.158701422718,0.135735168579,Positive,0.833333333333,0.145073853273,0.172228789028,0.023013138378,S1_24,1557219407.5,0.0126719837197,0.0,0.0,0.000241949720791,1557219527.5
28,Low,A012B4,1.0,0.183452119152,0.17407386926,0.156240610242,Positive,0.0,0.164728525331,0.181349503634,0.0139539968614,S1_24,1557219467.5,0.00817089648019,0.0,0.0,0.000196541444933,1557219587.5
29,Low,A012B4,1.0,0.186306374012,0.183170159392,0.176161161715,Positive,0.0,0.180796946176,0.186087785775,0.00507935508597,S1_24,1557219527.5,0.00282255407321,0.0,0.0,0.000151729273777,1557219647.5
30,Low,A012B4,1.0,0.209136200352,0.188953775489,0.180477753261,Positive,0.0,0.185743904327,0.187988350308,0.00166100290503,S1_24,1557219587.5,0.00691311020661,0.0,0.0,0.000472794629472,1557219707.5
31,Low,A012B4,1.0,0.209093872613,0.153047409682,-0.0518828814294,Positive,1.66666666667,0.132455476026,0.19511119362,0.0255891903206,S1_24,1557219647.5,0.0741013953356,0.0,0.0,0.00011972234152,1557219767.5
32,Low,A012B4,1.0,0.204947886188,0.156450828398,-0.0491468145383,Positive,1.66666666667,0.126555774849,0.200441020577,0.0353101012484,S1_24,1557219707.5,0.075512530314,0.0,0.0416666666667,-1.26503230269e-05,1557219827.5
33,Low,A012B4,1.0,0.209039048336,0.201921643476,0.197756060838,Positive,0.0,0.199958806277,0.203737426586,0.00321552095388,S1_24,1557219767.5,0.0028406436201,0.0,0.0,-8.64757010489e-05,1557219887.5
34,Low,A012B4,1.0,0.209019359296,0.19485321946,0.131947627541,Positive,0.833333333333,0.19743268875,0.204612252886,0.00533312566789,S1_24,1557219827.5,0.019168436277,0.0,0.0416666666667,-0.000280961925452,1557219947.5
35,Low,A012B4,1.0,0.216270013688,0.190084537066,0.125688215699,Positive,0.833333333333,0.163983023826,0.211440699035,0.0327500916235,S1_24,1557219887.5,0.0267313996152,0.0,0.0,4.33726377454e-05,1557220007.5
36,Low,A012B4,1.0,0.222923152365,0.191302653297,0.108336458328,Positive,0.833333333333,0.15696903836,0.218078614224,0.0498494767632,S1_24,1557219947.5,0.0342324089818,0.0,0.0416666666667,-0.000532383858268,1557220067.5
37,Low,A012B4,1.0,0.223054410205,0.170987921471,0.0548218728964,Positive,2.5,0.136523694315,0.217967988332,0.0688225105278,S1_24,1557220007.5,0.0435545613802,0.0,0.0,-5.88929555603e-05,1557220127.5
38,Low,A012B4,1.0,0.212761690363,0.133775939814,0.0503185815271,Positive,4.16666666667,0.101749908463,0.170441064868,0.0567882513271,S1_24,1557220067.5,0.040124840782,0.0,0.291666666667,-0.00181635632861,1557220187.5
39,Low,A012B4,1.0,0.202443382787,0.148070186853,0.0502200028794,Positive,2.5,0.113622942293,0.17869064925,0.0548071377143,S1_24,1557220127.5,0.0365003641705,0.0,0.0,-0.000514494875891,1557220247.5
40,Low,A012B4,1.0,0.199636441191,0.16047288127,0.0991088518693,Positive,2.5,0.138401509049,0.180889158028,0.030767062182,S1_24,1557220187.5,0.0266362082118,0.0,0.125,0.000238225184812,1557220307.5
41,Low,A012B4,1.0,0.214074990533,0.175554338382,0.0914537133954,Positive,3.33333333333,0.152943864616,0.208962910987,0.0512550406912,S1_24,1557220247.5,0.0347895822096,0.0,0.0,0.000468104593058,1557220367.5
42,Low,A012B4,1.0,0.218141665756,0.204423711766,0.152108339416,Positive,1.66666666667,0.204024355483,0.214340775411,0.00850450425795,S1_24,1557220307.5,0.01640702054,0.0,0.0,0.000134143214467,1557220427.5
43,Low,A012B4,1.0,0.22470803418,0.205820359209,0.158678152585,Positive,1.66666666667,0.20266511875,0.216492055998,0.0110095240331,S1_24,1557220367.5,0.0154034697685,0.0,0.0,-0.000311277491387,1557220487.5
44,Low,A012B4,1.0,0.224129144773,0.201995405606,0.157908205827,Positive,0.833333333333,0.199536006223,0.208007300177,0.00720726835947,S1_24,1557220427.5,0.0140123103083,0.0,0.0,9.83921721851e-06,1557220547.5
45,Low,A012B4,1.0,0.211373533893,0.203560880459,0.198720767717,Positive,0.0,0.200960452279,0.2061852288,0.0040620640409,S1_24,1557220487.5,0.0026635445909,0.0,0.0,8.43499940878e-05,1557220607.5
46,Low,A012B4,1.0,0.233533245882,0.204144922036,0.178097749599,Positive,0.0,0.193241894071,0.208328048277,0.00951212334785,S1_24,1557220547.5,0.0142803596792,0.0,0.0,0.000470387177679,1557220667.5
47,Low,A012B4,1.0,0.231800275232,0.218939624436,0.184390157985,Positive,0.0,0.19980519671,0.231015588345,0.025534643528,S1_24,1557220607.5,0.0162755653265,0.0,0.0,0.000386701135557,1557220727.5
48,Low,A012B4,1.0,0.23237445086,0.211632091989,0.154977686284,Positive,0.0,0.194923218906,0.229594017159,0.0312173277648,S1_24,1557220667.5,0.0220143620141,0.0,0.0833333333333,-0.00128994607627,1557220787.5
49,Low,A012B4,1.0,0.232729113509,0.062228161187,-0.679117409395,Positive,0.0,-0.052240039452,0.217117757658,0.0958706947466,S1_24,1557220727.5,0.271631304187,0.0,0.0,-2.26817526353e-06,1557220847.5
50,Low,A012B4,1.0,0.233102670688,0.0929674328091,-0.946613053458,Positive,0.0,0.174394821437,0.222397537241,0.03365780372,S1_24,1557220787.5,0.301954667968,0.0,0.0416666666667,0.000307391088239,1557220907.5
51,Low,A012B4,1.0,0.224649954461,0.220685850226,0.216335588791,Positive,0.0,0.218162277571,0.223520990182,0.00426408324115,S1_24,1557220847.5,0.00248167879959,0.0,0.0,-7.28427736524e-05,1557220967.5
52,Low,A012B4,1.0,0.224979804398,0.203560467293,0.165333553539,Positive,0.0,0.180944703948,0.221491954716,0.0388428992179,S1_24,1557220907.5,0.0204297618966,0.0,0.0,-0.000656637485303,1557221027.5
53,Low,A012B4,1.0,0.228439130001,0.184694462741,0.176098968528,Positive,0.0,0.179656876328,0.185284987965,0.00403166632516,S1_24,1557220967.5,0.0101568852328,0.0,0.0,-0.000721386467439,1557221087.5
54,Low,A012B4,1.0,0.189013700474,0.184721161736,0.177592589226,Positive,0.0,0.181989740513,0.187760334854,0.00551083558551,S1_24,1557221027.5,0.00321651877954,0.0,0.0,6.32335395595e-05,1557221147.5
55,Low,A012B4,1.0,0.217698667264,0.189619445908,0.182000710236,Positive,0.0,0.185251369043,0.189896909298,0.0033756740267,S1_24,1557221087.5,0.00803741236532,0.0,0.0,-6.2352882664e-06,1557221207.5
56,Low,A012B4,1.0,0.223961535434,0.200707440236,0.182418116504,Positive,0.833333333333,0.184976176222,0.218648718644,0.0309077893976,S1_24,1557221147.5,0.0153271393627,0.0,0.0,0.00055685131888,1557221267.5
57,Low,A012B4,1.0,0.225209016482,0.191433960348,0.146039535353,Positive,1.66666666667,0.171542909888,0.218564707634,0.038524399144,S1_24,1557221207.5,0.022410084389,0.0,0.0,-0.00016110628938,1557221327.5
58,Low,A012B4,1.0,0.247903468336,0.181457168992,0.0860915279732,Positive,0.833333333333,0.15898746369,0.21976798302,0.0447306048179,S1_24,1557221267.5,0.0383865091971,0.0,0.0833333333333,0.000353939136121,1557221387.5
59,Low,A012B4,1.0,0.247563340292,0.168359187482,0.0746208890757,Positive,0.833333333333,0.114710603875,0.213132190028,0.0815557999615,S1_24,1557221327.5,0.0494155557159,0.0,0.0,3.80300110282e-05,1557221447.5
60,Low,A012B4,1.0,0.239370594488,0.171297667354,0.065419524857,Positive,0.833333333333,0.130839963042,0.207505655757,0.0670515945178,S1_24,1557221387.5,0.0421298852445,0.0,0.0,-0.000803810967413,1557221507.5
61,Low,A012B4,1.0,0.223802739213,0.177229031272,0.0362232498071,Positive,0.833333333333,0.156586921001,0.21047324379,0.0388643591649,S1_24,1557221447.5,0.0451067118789,0.0,0.0,0.000699169123419,1557221567.5
62,Low,A012B4,1.0,0.223250478572,0.162663583648,0.0341011275565,Positive,1.66666666667,0.102736178214,0.21002906347,0.0804311249199,S1_24,1557221507.5,0.0578602593808,0.0,0.0833333333333,-0.000562515471563,1557221627.5
63,Low,A012B4,1.0,0.245890195444,0.186557360752,0.0349667569943,Positive,1.66666666667,0.152102633782,0.239778981895,0.0594201436732,S1_24,1557221567.5,0.0538833152894,0.0,0.0,0.000424824613716,1557221687.5
64,Low,A012B4,1.0,0.250635891993,0.217168846328,0.148031082443,Positive,1.66666666667,0.184683349349,0.246082244124,0.0546194845466,S1_24,1557221627.5,0.0309777682181,0.0,0.0,0.000758201431703,1557221747.5
